Code,Gemeinde
3542,Albula/Alvra
3955,Landquart
3543,Surses
3701,Andeer
3513,Lantsch/Lenz
3733,Tamins
3921,Arosa
3821,Lostallo
3668,Thusis
3681,Avers
3618,Lumnezia
3945,Trimmis
3544,Bergün Filisur
3891,Luzein
3734,Trin
3781,Bever
3783,Madulain
3987,Trun
3721,Bonaduz
3953,Maienfeld
3669,Tschappina
3792,Bregaglia
3954,Malans
3986,Tujetsch
3981,Breil/Brigels
3663,Masein
3946,Untervaz
3551,Brusio
3983,Medel (Lucmagn)
3670,Urmein
3804,Buseno
3822,Mesocco
3847,Val Müstair
3837,Calanca
3715,Muntogna da Schons
3603,Vals
3831,Cama
3988,Obersaxen Mundaun
3764,Valsot
3805,Castaneda
3784,Pontresina
3506,Vaz/Obervaz
3661,Cazis
3561,Poschiavo
3746,Zernez
3782,Celerina/Schlarigna
3723,Rhäzüns
3712,Zillis-Reischen
3901,Chur
3714,Rheinwald
3947,Zizers
3911,Churwalden
3711,Rongellen
3791,Zuoz
3881,Conters im Prättigau
3808,Rossa
3851,Davos
3637,Rothenbrunnen
3982,Disentis/Mustér
3834,Roveredo (GR)
3722,Domat/Ems
3788,S-chanf
3673,Domleschg
3672,Safiental
3572,Falera
3581,Sagogn
3731,Felsberg
3786,Samedan
3713,Ferrera
3752,Samnaun
3861,Fideris
3835,San Vittore
3951,Fläsch
3810,Santa Maria in Calanca
3662,Flerden
3638,Scharans
3732,Flims
3962,Schiers
3862,Furna
3582,Schluein
3633,Fürstenau
3514,Schmitten (GR)
3832,Grono
3762,Scuol
3961,Grüsch
3972,Seewis im Prättigau
3619,Ilanz/Glion
3640,Sils im Domleschg
3863,Jenaz
3789,Sils im Engadin/Segl
3952,Jenins
3790,Silvaplana
3871,Klosters
3823,Soazza
3882,Küblis
3787,St. Moritz
3785,La Punt Chamues-ch
3695,Sufers
3575,Laax
3985,Sumvitg
