Gemeinde,Strassenflaeche-Hektar
Vaz/Obervaz,88
Lantsch/Lenz,24
Schmitten (GR),7
Albula/Alvra,100
Surses,138
Bergün Filisur,64
Brusio,37
Poschiavo,135
Zernez,102
Samnaun,36
Scuol,173
Valsot,97
Val Müstair,100
Bonaduz,31
Domat/Ems,82
Rhäzüns,23
Felsberg,17
Flims,54
Tamins,19
Trin,29
Trimmis,55
Untervaz,23
Zizers,57
Fläsch,26
Jenins,13
Maienfeld,84
Malans,23
Landquart,58
Bever,9
Celerina/Schlarigna,39
Madulain,9
Pontresina,50
La Punt Chamues-ch,31
Samedan,41
St. Moritz,53
S-chanf,34
Sils im Engadin/Segl,29
Silvaplana,36
Zuoz,28
Bregaglia,82
Buseno,11
Castaneda,5
Rossa,12
Santa Maria in Calanca,5
Lostallo,49
Mesocco,124
Soazza,33
Cama,22
Grono,38
Roveredo,32
San Vittore,29
Calanca,29
Chur,200
Churwalden,46
Arosa,112
Davos,183
Fideris,31
Furna,18
Jenaz,22
Klosters,117
Conters im Prättigau,3
Küblis,15
Luzein,73
Grüsch,50
Schiers,54
Seewis im Prättigau,32
Falera,21
Laax,35
Sagogn,10
Schluein,12
Vals,47
Lumnezia,117
Ilanz/Glion,152
Safiental,94
Breil/Brigels,78
Disentis/Mustér,56
Medel (Lucmagn),50
Sumvitg,53
Tujetsch,65
Trun,29
Obersaxen Mundaun,77
Fürstenau,6
Rothenbrunnen,13
Scharans,12
Sils im Domleschg,22
Cazis,76
Flerden,14
Masein,11
Thusis,46
Tschappina,8
Urmein,11
Domleschg,73
Avers,27
Sufers,21
Andeer,39
Rongellen,7
Zillis-Reischen,28
Ferrera,18
Rheinwald,121
Muntogna da Schons,36
